age,income_lakh,investment_lakh,risk_score,experience,market_exposure,diversification,previous_return,annual_return,return_binary,return_category
53,18.2,5.1,10,2,15.4,9,2.0,21.7,1,2
36,23.5,12.6,7,14,89.5,3,2.0,27.9,1,2
57,6.7,5.1,1,12,95.1,1,6.0,6.0,0,0
29,4.4,5.6,1,13,65.4,9,18.9,13.5,0,1
45,21.9,11.2,1,5,24.2,6,15.3,18.2,1,1
42,9.7,1.1,1,23,55.6,5,-1.8,3.2,0,0
46,18.9,6.3,10,7,72.3,7,21.2,28.9,1,2
44,8.5,2.8,10,9,22.1,9,19.8,22.2,1,2
58,18.5,10.1,1,17,46.6,5,8.4,14.6,0,1
34,21.3,6.9,2,14,49.5,2,1.7,12.2,0,1
53,17.6,12.6,9,17,18.8,7,2.6,26.2,1,2
58,21.0,7.0,1,0,68.7,9,16.0,20.5,1,2
28,11.6,7.1,4,8,67.5,10,21.8,23.3,1,2
28,18.9,4.5,5,19,53.6,6,1.8,14.3,0,1
43,5.8,12.7,3,20,59.2,1,-1.3,9.6,0,0
48,17.3,4.6,10,15,41.2,5,5.0,19.5,1,1
49,18.5,2.4,6,24,89.2,6,-4.3,11.8,0,1
28,16.5,10.1,10,26,95.4,5,-0.6,18.6,1,1
23,16.6,1.2,2,1,55.4,6,14.9,12.4,0,1
39,19.4,12.9,1,20,97.7,8,-2.5,18.6,1,1
24,11.7,5.6,7,0,10.5,4,-0.9,8.7,0,0
57,24.7,12.2,8,2,38.7,4,15.6,24.1,1,2
23,22.5,2.8,5,15,42.7,4,-0.3,9.9,0,0
28,7.0,10.0,3,12,83.4,6,15.5,17.3,1,1
43,6.8,3.7,1,28,75.2,10,17.5,17.4,1,1
38,14.1,5.7,2,7,86.0,9,7.4,17.3,1,1
52,17.6,13.8,6,18,27.5,9,17.5,24.9,1,2
35,3.9,4.3,10,5,37.0,6,2.5,10.6,0,1
30,10.3,2.4,9,17,63.3,5,15.8,20.2,1,2
51,22.9,8.4,1,28,49.7,5,15.4,21.0,1,2
