Comment,Toxic
"Personally, Stop posting rubbish. Thanks!",1
"Honestly, Fantastic work. impressive Have a nice day.",0
"In my opinion, You did a great job. That's all.",0
"Personally, This made my day. Please improve.",0
You did a great job. excellent Have a nice day.,0
"In my opinion, Great presentation. nice That's all.",0
I think This is garbage. Thanks!,1
"Honestly, Very informative content. brilliant That's all.",0
Keep up the good work. fantastic,0
"In my opinion, This is garbage. Everyone agrees.",1
"In my opinion, Absolutely ridiculous. nonsense",1
"Seriously, I really appreciate your effort. nice Please improve.",0
"In my opinion, Shut up. ridiculous That's all.",1
"In my opinion, Fantastic work. creative Thanks!",0
"Honestly, Terrible explanation. Everyone agrees.",1
"Personally, You should quit. fool",1
"In my opinion, This made my day. fantastic Better luck next time.",0
"Seriously, You are an inspiration. Everyone agrees.",0
"Personally, You are completely useless. Have a nice day.",1
"Seriously, Great presentation. kind Please improve.",0
Keep up the good work. Thanks!,0
I think This is amazing. excellent Please improve.,0
"Seriously, Looking forward to more videos. creative That's all.",0
"In my opinion, You are an idiot. Better luck next time.",1
"Seriously, You are very talented. Have a nice day.",0
"Personally, Keep up the good work. good Thanks!",0
"Seriously, This made my day. Everyone agrees.",0
You make no sense. Please improve.,1
"Personally, You are an idiot. loser Everyone agrees.",1
"Personally, I completely agree with your opinion. creative Thanks!",0
"Personally, Great presentation. That's all.",0
"Honestly, Pathetic work. trash Thanks!",1
"Seriously, Pathetic work. worst Better luck next time.",1
"Seriously, Your ideas are terrible. annoying Keep it up.",1
This is the dumbest thing I've seen. Better luck next time.,1
I think Your work is outstanding. Have a nice day.,0
"Honestly, This is amazing. kind Keep it up.",0
You are completely useless. dumb That's all.,1
What a waste. loser Everyone agrees.,1
"In my opinion, You are so dumb. Keep it up.",1
"In my opinion, Your work is outstanding. kind Please improve.",0
You should quit. loser Everyone agrees.,1
"Honestly, This made my day. Please improve.",0
"In my opinion, Wonderful project. That's all.",0
I think You should quit. Have a nice day.,1
"Honestly, This made my day. good That's all.",0
Shut up. nonsense Have a nice day.,1
"Personally, I really appreciate your effort. kind Have a nice day.",0
"In my opinion, Excellent explanation. creative Better luck next time.",0
"Seriously, You are completely useless. Have a nice day.",1
You are so dumb. fool Thanks!,1
"Seriously, Looking forward to more videos. fantastic Better luck next time.",0
"Seriously, Worst content ever. Better luck next time.",1
"Honestly, This is amazing. That's all.",0
This is garbage. horrible Better luck next time.,1
"Personally, You are very talented. excellent Please improve.",0
I think Your ideas are terrible. idiot Have a nice day.,1
"Personally, Pathetic work. Have a nice day.",1
"Seriously, Stop posting rubbish.",1
What a waste. dumb Have a nice day.,1
"Honestly, This is the dumbest thing I've seen. annoying Better luck next time.",1
You did a great job. impressive Please improve.,0
You are very talented. smart That's all.,0
Fantastic work.,0
"Honestly, I learned something new today. Keep it up.",0
Your ideas are terrible. Keep it up.,1
"Honestly, This is nonsense. nonsense Have a nice day.",1
"Honestly, You did a great job. Keep it up.",0
"Personally, You should quit. trash Better luck next time.",1
I think Keep up the good work. Please improve.,0
I think This is nonsense. That's all.,1
"In my opinion, Shut up. Better luck next time.",1
I think Wonderful project. polite That's all.,0
"Personally, This is nonsense. dumb",1
"Personally, This made my day. polite Have a nice day.",0
"Seriously, You did a great job. nice Have a nice day.",0
"In my opinion, Fantastic work. Keep it up.",0
I think You are a loser. idiot Have a nice day.,1
I think I completely agree with your opinion. creative That's all.,0
Your ideas are terrible. nonsense Thanks!,1
Your ideas are terrible. nonsense Better luck next time.,1
"Seriously, You are stupid. garbage Everyone agrees.",1
"Honestly, You are very talented. perfect Thanks!",0
"In my opinion, Nobody likes you. loser Everyone agrees.",1
"Honestly, Great presentation. polite",0
I think You are very talented. kind Have a nice day.,0
"Seriously, Great presentation. kind Please improve.",0
You make no sense. Please improve.,1
Wonderful project. valuable Please improve.,0
"Honestly, This tutorial is very useful. Please improve.",0
