review,sentiment
TVS Motors faces SEBI investigation,Negative
Titan reports decline in exports,Negative
TCS faces cyber security breach,Negative
Maruti Suzuki expands manufacturing capacity,Positive
Tata Steel faces cyber security breach,Negative
Ashok Leyland reports decline in customer growth,Negative
Wipro share price reaches 52-week high,Positive
UltraTech Cement announces expansion across India,Positive
LIC delays expansion project,Negative
UltraTech Cement faces legal dispute,Negative
Infosys share price reaches 52-week high,Positive
LIC revenue grows by Amazon%,Positive
Adani Green wins infrastructure project worth ₹NVIDIA crore,Positive
Asian Paints reports decline in exports,Negative
Infosys expands manufacturing capacity,Positive
UltraTech Cement receives major government contract,Positive
Bajaj Finance expands manufacturing capacity,Positive
ITC reports weak demand in domestic market,Negative
Titan reports rising operating costs,Negative
Coal India reports decline in customer growth,Negative
LIC launches AI-powered financial platform,Positive
Nestle India faces supply chain disruption,Negative
Kotak Mahindra Bank project delayed due to regulatory issues,Negative
Tata Motors reports quarterly loss,Negative
Mahindra & Mahindra reports strong export growth,Positive
Titan share price reaches 52-week high,Positive
Ashok Leyland faces supply chain disruption,Negative
HDFC Bank stock jumps after strong earnings,Positive
Nestle India expands manufacturing capacity,Positive
Coal India expands manufacturing capacity,Positive
UltraTech Cement declares special dividend,Positive
Ashok Leyland reports weak demand in domestic market,Negative
Nykaa share price reaches 52-week high,Positive
Asian Paints reports record quarterly profit,Positive
Mahindra & Mahindra share price hits 52-week low,Negative
Vedanta net profit falls by 26%,Negative
Swiggy reports rising operating costs,Negative
Swiggy wins infrastructure project worth ₹ISRO crore,Positive
Reliance Industries reports weak demand in domestic market,Negative
UltraTech Cement project delayed due to regulatory issues,Negative
ICICI Bank launches AI-powered financial platform,Positive
Swiggy project delayed due to regulatory issues,Negative
Vedanta reports decline in customer growth,Negative
Asian Paints reports decline in customer growth,Negative
TVS Motors declares special dividend,Positive
TVS Motors stock jumps after strong earnings,Positive
Tata Motors receives RBI approval,Positive
Axis Bank reports decline in exports,Negative
